Category,Facility,Description,Hours,Features,Instruction Available,Equipment Provided
Tennis,Clay Courts,Multiple professional clay tennis courts,Dawn to Dusk,Professional surface | Court lighting | Spectator seating,Yes - Lessons and clinics,Rackets available for rent
Tennis,Tennis Pro Shop,Equipment and accessories,9 AM - 6 PM,Racket sales | Apparel | Accessories | Stringing service,Professional advice,Full tennis equipment
Pickleball,Pickleball Courts,Dedicated pickleball courts,Dawn to Dusk,Regulation courts | Net systems | Court markings,Yes - Coaching available,Paddles and balls available
Fitness,Fitness Center,Modern cardio and weight equipment,6 AM - 10 PM,Cardio machines | Free weights | Weight machines | Stretching area,Personal training available,All fitness equipment included
Wellness,Yoga Classes,Regular yoga and wellness classes,Varies by schedule,Group classes | Private sessions | Multiple styles,Certified instructors,Mats and props provided
Racquet Sports,Squash Court,Indoor squash facility,Dawn to Dusk,Professional court | Climate controlled,Lessons available,Rackets available for rent
Lawn Games,Croquet Lawn,Championship croquet lawn,Dawn to Dusk,Regulation lawn | Tournament quality,Instruction available,Full croquet set provided
Lawn Games,Bocce Court,Traditional bocce ball court,Dawn to Dusk,Regulation court | Sand surface,Casual instruction,Bocce ball sets provided
Recreation,Lawn Games,Various outdoor games,Dawn to Dusk,Lawn bowling | Ring toss | Other games,Casual instruction,Game equipment provided
Water Sports,Beach Equipment,Beach and water sports equipment,Beach hours,Snorkel gear | Paddle boards | Kayaks | Beach games,Basic instruction,All equipment included
Fitness Programs,Group Classes,Various fitness group classes,Scheduled times,Aerobics | Aqua fitness | Strength training,Certified instructors,Equipment provided for classes